,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,type,distance,moving_time,total_elevation_gain,start_date
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,Pre-twitch huuump day beach Yelp run ,Run,2.1440763618724395e-54,4241,34.8,2022-04-13T18:13:36Z
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,Run to kc library with backpack ,Run,4.0910649244637145e-55,875,29.9,2022-04-08T17:14:38Z
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,"Y is slack/Twitter going off when I’m on the beach, unlimited PTO is a scam !! ",Run,2.6769752783620333e-54,5365,97.5,2022-03-29T21:57:24Z
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,Beach run and recap with Jen ,Run,9.51538210416368e-55,2682,22.2,2022-03-28T22:13:31Z
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,Run to Jen while taking a call post-GDC/club day off ,Run,9.421968306524594e-55,1781,14.6,2022-03-28T21:42:54Z
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,Late to gala volunteer Ty movie,Run,1.3876160227135785e-55,278,0.0,2022-03-27T20:43:50Z
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Run to pickup Sam’s pan to impress dinner but too heavy for hill,Run,6.380851496915472e-55,983,9.8,2022-03-26T19:14:46Z
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,"Late to meeting post-iguana man, party, Diane shenanigans rofl ",Run,2.5774934123105576e-55,743,0.0,2022-03-24T17:48:46Z
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,Late to meeting rofl ,Run,1.3625397778556082e-55,449,0.0,2022-03-23T22:15:21Z
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,Last-min karaoke ,Run,2.3296022894782185e-56,40,2.1,2022-03-20T05:15:21Z
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,Run to 🎾 bc late ,Run,1.7337064860973082e-55,580,0.0,2022-03-16T00:24:05Z
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,Chinatown LNY 10K,Run,2.031328970869746e-54,3426,76.8,2022-03-06T16:00:52Z
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,Quick borough night run pre-oakland,Run,4.962799421282593e-55,931,50.9,2022-03-05T02:15:41Z
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,Orchids + tea -> pick up rackets ,Run,1.324293718904496e-54,2361,72.8,2022-02-28T01:07:17Z
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,To orchids last-min,Run,1.3650282601699784e-54,2544,96.8,2022-02-27T22:27:40Z
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,"Post-pancake party the vc’s came late, artists were early",Run,6.307536979506501e-55,1249,92.5,2022-02-27T20:01:40Z
