name,type,distance,moving_time,total_elevation_gain,start_date
Morning Walk,Walk,3670.6,2554,49.0,2023-05-11T17:51:33Z
Evening Ride,Ride,3797.3,742,17.2,2023-05-11T02:22:26Z
Evening Pickleball,Workout,0.0,3577,0.0,2023-05-11T01:11:13Z
Afternoon Ride,Ride,6302.5,1645,77.8,2023-05-10T22:19:54Z
Night Walk,Walk,1773.9,1409,67.0,2023-05-10T05:27:59Z
Evening Walk,Walk,1843.2,1212,36.2,2023-05-10T02:38:45Z
Afternoon Ride,Ride,6369.4,1634,91.8,2023-05-10T00:39:13Z
Afternoon Ride,Ride,6215.1,1624,83.2,2023-05-09T22:22:18Z
Evening Walk,Walk,907.9,1,0.0,2023-05-09T01:07:29Z
Lunch Walk,Walk,1108.0,584,4.8,2023-05-08T19:20:11Z
Afternoon Walk,Walk,2035.0,1528,4.4,2023-05-08T00:26:30Z
Afternoon Walk,Walk,1420.1,1301,0.0,2023-05-07T22:30:12Z
Afternoon Pickleball,Workout,0.0,3221,0.0,2023-05-06T20:55:24Z
Lunch Pickleball,Workout,0.0,2096,0.0,2023-05-06T19:51:01Z
Morning Pickleball,Workout,0.0,7427,0.0,2023-05-06T17:34:51Z
Morning Pickleball,Workout,0.0,5897,0.0,2023-05-06T15:42:36Z
sf bike party ,Ride,10283.1,3519,128.8,2023-05-06T03:16:27Z
To bike party ,Ride,9842.6,2640,95.0,2023-05-06T02:10:09Z
Afternoon Walk,Walk,4245.3,2775,121.8,2023-05-05T23:25:25Z
Lunch Tennis,Workout,0.0,5685,0.0,2023-05-05T19:32:20Z
Lunch Walk,Walk,2315.7,1840,0.0,2023-05-05T18:46:33Z
Team bikes to Sf devrel meetup ,Ride,4124.9,1229,16.8,2023-05-05T00:38:17Z
Morning Walk,Walk,1871.0,1275,0.0,2023-05-04T16:29:28Z
Evening Elliptical,Elliptical,0.0,906,0.0,2023-05-04T01:41:52Z
Evening Weight Training,WeightTraining,0.0,826,0.0,2023-05-04T01:26:55Z
Afternoon Ride,Ride,6441.1,2001,99.4,2023-05-04T00:19:42Z
Morning Ride,Ride,2568.5,611,0.0,2023-05-03T16:28:27Z
Afternoon Ride,Ride,6484.2,1847,86.2,2023-05-02T23:16:10Z
Afternoon Ride,Ride,6158.4,1562,67.8,2023-05-02T21:12:19Z
Evening Tennis,Workout,0.0,3774,0.0,2023-05-02T01:45:12Z
Evening Walk,Walk,1292.2,1002,71.0,2023-05-01T03:00:04Z
Afternoon Walk,Walk,1352.0,939,0.0,2023-05-01T00:46:15Z
Afternoon Elliptical,Elliptical,0.0,1759,0.0,2023-04-29T20:39:08Z
Afternoon Run,Run,5384.9,1868,58.6,2023-04-28T21:43:01Z
Evening Walk,Walk,1904.8,1545,92.0,2023-04-28T01:53:51Z
Morning Walk,Walk,1790.3,1354,0.0,2023-04-27T16:24:28Z
Afternoon Run,Run,9254.5,3383,87.6,2023-04-27T00:20:32Z
Afternoon Ride,Ride,6321.9,1680,87.2,2023-04-26T00:40:16Z
Afternoon Ride,Ride,6076.8,1480,69.0,2023-04-25T22:21:05Z
Milan jog,Run,10883.1,4405,20.6,2023-04-23T15:37:59Z
Afternoon Walk,Walk,1817.6,1161,5.2,2023-04-23T13:40:56Z
Afternoon Walk,Walk,2919.5,2081,20.8,2023-04-22T14:06:39Z
Lunch Walk,Walk,1638.5,1287,18.8,2023-04-22T09:06:53Z
Lunch Walk,Walk,2076.5,1951,181.0,2023-04-21T09:36:08Z
Lunch Walk,Walk,7773.5,6823,133.8,2023-04-20T10:14:08Z
Evening Walk,Walk,1733.4,1207,0.0,2023-04-19T18:19:56Z
Lunch Walk,Walk,1439.1,1127,3.6,2023-04-19T09:13:46Z
Afternoon Walk,Walk,1507.9,1311,3.0,2023-04-18T14:03:07Z
Jen singles practice ,Workout,0.0,5379,0.0,2023-07-07T19:21:34Z
Lunch Walk,Walk,1678.6,1076,2.6,2023-07-07T18:47:04Z
Ride to Thursday nights in ai night 2 ,Ride,2967.8,809,9.4,2023-07-07T01:08:10Z
Morning Walk,Walk,1752.5,1322,2.8,2023-07-06T16:59:40Z
Craig comes back today early run bc meetup,Run,12133.1,4373,61.6,2023-07-06T13:54:07Z
Charlie vs me and Nico ,Workout,0.0,1552,0.0,2023-07-06T04:06:52Z
Afternoon Tennis,Workout,0.0,537,0.0,2023-07-06T00:32:23Z
"Pre-bbq, post-csv vs pandas agent epiphany ",Run,12619.0,4857,98.6,2023-07-04T20:06:14Z
Afternoon Elliptical,Elliptical,0.0,2433,0.0,2023-07-04T00:22:46Z
Stanford salut Clément ,Walk,1344.6,373,7.2,2023-07-03T20:43:24Z
Night Ride,Ride,4697.9,1100,16.6,2023-07-03T04:08:40Z
Tennis break ride ,Ride,2076.7,442,11.0,2023-07-02T23:49:00Z
Lunch Ride,Ride,5874.0,1359,69.8,2023-07-02T19:03:09Z
Evening Weight Training,WeightTraining,0.0,939,0.0,2023-07-02T02:42:10Z
Evening Elliptical,Elliptical,0.0,1338,0.0,2023-07-02T02:19:38Z
Presidio ride x sports basement ,Ride,11975.7,2807,138.6,2023-07-01T21:29:23Z
Afternoon Ride,Ride,3085.5,767,12.6,2023-07-01T20:59:54Z
Run with bagels ,Run,6029.5,2333,35.2,2023-06-30T20:54:00Z
Run for bagels ,Run,6767.3,2275,30.2,2023-06-30T20:10:27Z
Night Ride,Ride,4911.9,1436,92.4,2023-06-30T04:36:39Z
Afternoon Ride,Ride,3592.9,872,3.0,2023-06-29T21:49:50Z
Lunch Ride,Ride,2294.7,500,0.0,2023-06-29T18:43:25Z
Afternoon Ride,Ride,6199.5,1506,77.4,2023-06-28T23:27:05Z
