,name,type,distance,moving_time,total_elevation_gain,start_date_local
887,Final Saturday Bilal canvass pre-fam dim sum,Walk,4686.5,4704,78.6,2022-02-12T13:18:12Z
891,Dolo canvassing p2 ,Walk,13910.7,9704,160.7,2022-02-08T15:08:26Z
892,Post-Craig on twitch canvassing ,Walk,16731.8,13056,334.5,2022-02-07T15:05:20Z
893,Contemplating my inability to win tiebreakers,Walk,5717.5,4172,88.2,2022-02-06T18:18:15Z
895,Afternoon Walk,Walk,6004.7,4007,74.3,2022-02-06T14:37:49Z
896,Evening Walk,Walk,3512.4,2564,89.2,2022-02-05T19:18:12Z
897,Canvass for/with Bilal to chez maman ,Walk,15220.1,11919,231.6,2022-02-05T11:21:17Z
898,"Post-GrowSF 🏓, gimlet, negroni ",Walk,2671.1,1810,87.3,2022-02-04T18:11:11Z
901,Bands visit to steph,Walk,4406.2,3142,92.3,2022-02-02T21:20:04Z
906,Canvass 4 Bilal p2,Walk,8345.1,6555,118.0,2022-01-30T13:00:23Z
910,One day I will not mess up hackathon demo time zones ,Walk,3477.1,2635,90.4,2022-01-28T14:47:32Z
911,Dogpatch reminds me of pybay and devrelcon😭😭,Walk,5179.3,3413,11.8,2022-01-28T11:26:10Z
912,Evening Walk w/ the danicats ,Walk,4679.2,3537,117.5,2022-01-27T20:42:21Z
913,No time 4 pre-hot pot run too busy getting 147 peak twitch viewers lfg ,Walk,6856.3,4631,139.5,2022-01-27T17:19:44Z
918,Afternoon Walk,Walk,4959.8,5580,4.6,2022-01-23T15:21:42Z
919,Canvas 4 Bilal x walk home x errands ,Walk,6784.7,5442,141.8,2022-01-22T13:06:55Z
920,Morning Walk,Walk,3983.8,2737,37.5,2022-01-22T10:19:34Z
924,Lunch Walk,Walk,5480.0,3989,124.8,2022-01-19T12:48:19Z
926,Afternoon Walk,Walk,6114.2,3975,99.9,2022-01-18T17:02:15Z
927,Afternoon Walk,Walk,4785.4,4020,31.2,2022-01-17T15:22:44Z
930,Lunch Walk,Walk,3334.8,2493,0.0,2022-01-14T11:48:44Z
931,Afternoon Walk,Walk,4953.7,3510,111.6,2022-01-13T17:17:49Z
939,Afternoon Walk,Walk,3123.0,2553,99.7,2022-01-07T17:58:04Z
940,Afternoon Walk,Walk,14507.6,9952,240.1,2022-01-06T13:12:43Z
942,Afternoon Walk,Walk,2041.3,1290,0.0,2022-01-05T17:44:27Z
954,Night Walk,Walk,1518.1,1275,88.1,2021-12-16T21:50:42Z
957,Night Walk,Walk,547.7,500,43.4,2021-12-09T23:51:15Z
958,Evening Walk,Walk,3771.1,2260,46.3,2021-12-08T19:14:43Z
962,Night Walk,Walk,1638.1,1312,84.6,2021-12-02T22:55:58Z
964,Evening Walk,Walk,6048.4,3928,72.3,2021-12-01T18:40:12Z
965,Afternoon Walk,Walk,1937.3,1523,87.3,2021-12-01T16:30:33Z
966,Morning Walk,Walk,2014.1,1598,2.1,2021-12-01T08:53:14Z
967,Evening Walk,Walk,2499.5,1967,85.2,2021-11-30T20:53:12Z
969,Afternoon Walk,Walk,2460.6,1659,23.9,2021-11-30T17:38:51Z
970,Evening Walk,Walk,1849.7,1179,35.4,2021-11-29T19:36:44Z
972,Stanfurd dish trail,Walk,4838.9,3490,114.5,2021-11-26T13:38:25Z
975,Lunch Walk,Walk,16515.6,11139,229.1,2021-11-24T12:40:12Z
977,Afternoon Walk,Walk,1870.5,1258,0.0,2021-11-22T17:46:14Z
978,Evening Walk,Walk,6030.4,4599,113.8,2021-11-21T18:18:52Z
980,Walk to 9.5 GGP matchhh,Walk,6890.0,5128,100.1,2021-11-21T13:25:34Z
982,Night Walk,Walk,1215.7,900,72.9,2021-11-18T23:02:42Z
983,Night Walk,Walk,1379.4,1086,63.7,2021-11-12T23:41:07Z
