,name,type,distance,moving_time,total_elevation_gain,start_date_local
205,Coffee to picnic hi E long way feat new Valencia bike lane ,Ride,16032.3,3683,115.2,2023-06-24T13:35:48Z
206,Ride for coffee,Ride,6872.2,1748,5.6,2023-06-24T12:22:26Z
215,Afternoon Ride,Ride,4457.1,1356,83.0,2023-06-19T14:33:01Z
216,Lunch Ride,Ride,5937.7,1633,69.8,2023-06-19T11:39:33Z
218,Lunch Ride,Ride,6393.9,1477,84.4,2023-06-18T12:25:02Z
219,Morning Ride,Ride,6164.0,1351,76.2,2023-06-18T08:25:36Z
224,Evening Ride,Ride,6377.2,1382,75.6,2023-06-15T18:42:03Z
226,Evening Ride,Ride,6355.0,1456,86.4,2023-06-14T20:50:32Z
229,Afternoon Ride,Ride,6142.2,1354,76.2,2023-06-14T15:27:42Z
230,Post-wine bar ,Ride,2619.0,820,75.6,2023-06-13T19:53:49Z
231,Pickleball to dumplings ,Ride,3734.4,736,14.0,2023-06-13T17:42:27Z
233,Afternoon Ride,Ride,6826.7,1576,73.6,2023-06-13T14:43:37Z
243,20 min Broadway Ride with Benny Adami,Ride,9144.6,1201,0.0,2023-06-09T17:22:36Z
244,30 min Disney Ride with Emma Lovewell,Ride,13505.2,1800,0.0,2023-06-09T16:50:48Z
247,30 min The Little Mermaid Ride with Tunde Oyeneyin,Ride,13290.2,1800,0.0,2023-06-08T19:39:28Z
249,Lunch Ride to conf ,Ride,5887.7,1610,22.2,2023-06-07T12:02:58Z
254,Afternoon Ride,Ride,6345.9,1422,86.0,2023-06-04T14:04:39Z
257,Morning Ride,Ride,6164.8,1371,68.8,2023-06-04T08:30:57Z
264,Night Ride,Ride,6270.8,1487,85.0,2023-05-31T21:36:24Z
266,Afternoon Ride,Ride,6057.1,1482,66.8,2023-05-31T15:21:42Z
267,Night Ride,Ride,6483.4,1423,85.8,2023-05-30T22:10:15Z
269,Evening Ride,Ride,6285.3,1293,70.6,2023-05-30T18:46:47Z
275,Night Ride,Ride,3932.8,1196,86.0,2023-05-28T21:09:08Z
276,Afternoon Ride,Ride,4113.1,1027,46.4,2023-05-28T17:45:33Z
277,Afternoon Ride,Ride,6418.9,1418,84.2,2023-05-28T14:15:20Z
282,Morning Ride,Ride,6214.4,1312,66.4,2023-05-28T08:25:22Z
283,Afternoon Ride,Ride,3981.4,1114,87.8,2023-05-27T16:14:05Z
284,Lunch Ride,Ride,2727.1,700,12.4,2023-05-27T12:26:13Z
289,Night Ride,Ride,6468.5,1540,91.2,2023-05-24T21:13:17Z
291,Afternoon Ride,Ride,6223.4,1567,65.8,2023-05-24T15:26:38Z
292,Evening Ride,Ride,6467.5,1659,91.6,2023-05-23T18:08:44Z
294,Afternoon Ride,Ride,6132.8,1431,67.2,2023-05-23T13:45:00Z
305,Evening Ride,Ride,5586.6,1539,111.4,2023-05-18T18:03:28Z
306,BIKE BUS X BIKE TO WHEREVER WORK DAY,Ride,7774.5,2254,33.0,2023-05-18T07:46:43Z
